account_id,date,cost_amount,currency
SYNTHETIC-001,2024-07-01,77.48,USD
SYNTHETIC-001,2024-07-02,65.45,USD
SYNTHETIC-001,2024-07-03,81.56,USD
SYNTHETIC-001,2024-07-04,83.31,USD
SYNTHETIC-001,2024-07-05,57.36,USD
SYNTHETIC-001,2024-07-06,38.49,USD
SYNTHETIC-001,2024-07-07,46.34,USD
SYNTHETIC-001,2024-07-08,72.17,USD
SYNTHETIC-001,2024-07-09,74.9,USD
SYNTHETIC-001,2024-07-10,67.4,USD
SYNTHETIC-001,2024-07-11,83.05,USD
SYNTHETIC-001,2024-07-12,82.18,USD
SYNTHETIC-001,2024-07-13,46.14,USD
SYNTHETIC-001,2024-07-14,51.99,USD
SYNTHETIC-001,2024-07-15,79.5,USD
SYNTHETIC-001,2024-07-16,67.54,USD
SYNTHETIC-001,2024-07-17,78.68,USD
SYNTHETIC-001,2024-07-18,66.71,USD
SYNTHETIC-001,2024-07-19,83.37,USD
SYNTHETIC-001,2024-07-20,45.66,USD
SYNTHETIC-001,2024-07-21,44.94,USD
SYNTHETIC-001,2024-07-22,69.36,USD
SYNTHETIC-001,2024-07-23,86.66,USD
SYNTHETIC-001,2024-07-24,74.21,USD
SYNTHETIC-001,2024-07-25,71.76,USD
SYNTHETIC-001,2024-07-26,72.49,USD
SYNTHETIC-001,2024-07-27,49.04,USD
SYNTHETIC-001,2024-07-28,48.14,USD
SYNTHETIC-001,2024-07-29,85.91,USD
SYNTHETIC-001,2024-07-30,86.13,USD
SYNTHETIC-001,2024-07-31,103.0,USD
SYNTHETIC-001,2024-08-01,72.21,USD
SYNTHETIC-001,2024-08-02,71.28,USD
SYNTHETIC-001,2024-08-03,41.73,USD
SYNTHETIC-001,2024-08-04,49.69,USD
SYNTHETIC-001,2024-08-05,86.36,USD
SYNTHETIC-001,2024-08-06,75.05,USD
SYNTHETIC-001,2024-08-07,68.46,USD
SYNTHETIC-001,2024-08-08,68.63,USD
SYNTHETIC-001,2024-08-09,82.16,USD
SYNTHETIC-001,2024-08-10,50.55,USD
SYNTHETIC-001,2024-08-11,49.46,USD
SYNTHETIC-001,2024-08-12,70.22,USD
SYNTHETIC-001,2024-08-13,78.48,USD
SYNTHETIC-001,2024-08-14,77.46,USD
SYNTHETIC-001,2024-08-15,78.44,USD
SYNTHETIC-001,2024-08-16,84.47,USD
SYNTHETIC-001,2024-08-17,47.82,USD
SYNTHETIC-001,2024-08-18,50.39,USD
SYNTHETIC-001,2024-08-19,77.2,USD
SYNTHETIC-001,2024-08-20,79.28,USD
SYNTHETIC-001,2024-08-21,82.46,USD
SYNTHETIC-001,2024-08-22,63.28,USD
SYNTHETIC-001,2024-08-23,175.35,USD
SYNTHETIC-001,2024-08-24,44.09,USD
SYNTHETIC-001,2024-08-25,43.17,USD
SYNTHETIC-001,2024-08-26,74.31,USD
SYNTHETIC-001,2024-08-27,90.67,USD
SYNTHETIC-001,2024-08-28,68.93,USD
SYNTHETIC-001,2024-08-29,92.77,USD
SYNTHETIC-001,2024-08-30,66.36,USD
SYNTHETIC-001,2024-08-31,48.6,USD
SYNTHETIC-001,2024-09-01,47.83,USD
SYNTHETIC-001,2024-09-02,82.53,USD
SYNTHETIC-001,2024-09-03,83.73,USD
SYNTHETIC-001,2024-09-04,84.53,USD
SYNTHETIC-001,2024-09-05,73.99,USD
SYNTHETIC-001,2024-09-06,72.97,USD
SYNTHETIC-001,2024-09-07,51.89,USD
SYNTHETIC-001,2024-09-08,45.99,USD
SYNTHETIC-001,2024-09-09,195.69,USD
SYNTHETIC-001,2024-09-10,66.88,USD
SYNTHETIC-001,2024-09-11,68.9,USD
SYNTHETIC-001,2024-09-12,82.1,USD
SYNTHETIC-001,2024-09-13,78.84,USD
SYNTHETIC-001,2024-09-14,51.12,USD
SYNTHETIC-001,2024-09-15,44.81,USD
SYNTHETIC-001,2024-09-16,79.1,USD
SYNTHETIC-001,2024-09-17,83.5,USD
SYNTHETIC-001,2024-09-18,74.82,USD
SYNTHETIC-001,2024-09-19,82.0,USD
SYNTHETIC-001,2024-09-20,71.6,USD
SYNTHETIC-001,2024-09-21,45.3,USD
SYNTHETIC-001,2024-09-22,45.22,USD
SYNTHETIC-001,2024-09-23,66.71,USD
SYNTHETIC-001,2024-09-24,82.48,USD
SYNTHETIC-001,2024-09-25,73.57,USD
SYNTHETIC-001,2024-09-26,78.12,USD
SYNTHETIC-001,2024-09-27,82.54,USD
SYNTHETIC-001,2024-09-28,54.08,USD
SYNTHETIC-001,2024-09-29,55.45,USD
SYNTHETIC-001,2024-09-30,83.41,USD
SYNTHETIC-001,2024-10-01,74.22,USD
SYNTHETIC-001,2024-10-02,77.48,USD
SYNTHETIC-001,2024-10-03,62.42,USD
SYNTHETIC-001,2024-10-04,64.7,USD
SYNTHETIC-001,2024-10-05,40.12,USD
SYNTHETIC-001,2024-10-06,42.0,USD
SYNTHETIC-001,2024-10-07,82.17,USD
SYNTHETIC-001,2024-10-08,69.93,USD
SYNTHETIC-001,2024-10-09,74.93,USD
SYNTHETIC-001,2024-10-10,90.77,USD
SYNTHETIC-001,2024-10-11,75.2,USD
SYNTHETIC-001,2024-10-12,52.08,USD
SYNTHETIC-001,2024-10-13,42.5,USD
SYNTHETIC-001,2024-10-14,76.73,USD
SYNTHETIC-001,2024-10-15,69.74,USD
SYNTHETIC-001,2024-10-16,75.55,USD
SYNTHETIC-001,2024-10-17,86.73,USD
SYNTHETIC-001,2024-10-18,62.49,USD
SYNTHETIC-001,2024-10-19,50.5,USD
SYNTHETIC-001,2024-10-20,49.4,USD
SYNTHETIC-001,2024-10-21,73.31,USD
SYNTHETIC-001,2024-10-22,65.27,USD
SYNTHETIC-001,2024-10-23,79.69,USD
SYNTHETIC-001,2024-10-24,74.03,USD
SYNTHETIC-001,2024-10-25,81.29,USD
SYNTHETIC-001,2024-10-26,48.29,USD
SYNTHETIC-001,2024-10-27,57.45,USD
SYNTHETIC-001,2024-10-28,76.92,USD
SYNTHETIC-001,2024-10-29,75.06,USD
SYNTHETIC-001,2024-10-30,87.46,USD
SYNTHETIC-001,2024-10-31,87.92,USD
SYNTHETIC-001,2024-11-01,92.29,USD
SYNTHETIC-001,2024-11-02,53.16,USD
SYNTHETIC-001,2024-11-03,50.41,USD
SYNTHETIC-001,2024-11-04,93.41,USD
SYNTHETIC-001,2024-11-05,68.16,USD
SYNTHETIC-001,2024-11-06,73.43,USD
SYNTHETIC-001,2024-11-07,70.72,USD
SYNTHETIC-001,2024-11-08,75.88,USD
SYNTHETIC-001,2024-11-09,40.47,USD
SYNTHETIC-001,2024-11-10,52.2,USD
SYNTHETIC-001,2024-11-11,77.59,USD
SYNTHETIC-001,2024-11-12,65.68,USD
SYNTHETIC-001,2024-11-13,70.07,USD
SYNTHETIC-001,2024-11-14,82.84,USD
SYNTHETIC-001,2024-11-15,87.9,USD
SYNTHETIC-001,2024-11-16,60.29,USD
SYNTHETIC-001,2024-11-17,65.68,USD
SYNTHETIC-001,2024-11-18,83.96,USD
