account_id,month,service,pricing_type,instance_type,region,hourly_price_usd,product_family
SYNTHETIC-001,2025-06,EC2,On-Demand,t3.micro,us-east-1,0.0104,Compute Instance
SYNTHETIC-001,2025-06,EC2,On-Demand,t3.small,us-east-1,0.0884,Compute Instance
SYNTHETIC-001,2025-06,EC2,On-Demand,t3.medium,us-east-1,0.0416,Compute Instance
SYNTHETIC-001,2025-06,EC2,On-Demand,t3.large,us-east-1,0.0832,Compute Instance
SYNTHETIC-001,2025-06,EC2,On-Demand,m5.large,us-east-1,0.164,Compute Instance
SYNTHETIC-001,2025-06,EC2,On-Demand,m5.xlarge,us-east-1,0.192,Compute Instance
SYNTHETIC-001,2025-06,EC2,On-Demand,m5.2xlarge,us-east-1,3.384,Compute Instance
SYNTHETIC-001,2025-06,EC2,On-Demand,c5.large,us-east-1,0.085,Compute Instance
SYNTHETIC-001,2025-06,EC2,On-Demand,c5.xlarge,us-east-1,0.17,Compute Instance
SYNTHETIC-001,2025-06,EC2,On-Demand,c5.2xlarge,us-east-1,0.34,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-1yr,c5.2xlarge,us-east-1,0.2142,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-3yr,c5.2xlarge,us-east-1,0.136,Compute Instance
SYNTHETIC-001,2025-06,EC2,Spot,c5.2xlarge,us-east-1,0.102,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-1yr,c5.large,us-east-1,0.0536,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-3yr,c5.large,us-east-1,0.034,Compute Instance
SYNTHETIC-001,2025-06,EC2,Spot,c5.large,us-east-1,0.0255,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-1yr,c5.xlarge,us-east-1,0.1071,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-3yr,c5.xlarge,us-east-1,0.068,Compute Instance
SYNTHETIC-001,2025-06,EC2,Spot,c5.xlarge,us-east-1,0.051,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-1yr,m5.2xlarge,us-east-1,2.1319,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-3yr,m5.2xlarge,us-east-1,1.3536,Compute Instance
SYNTHETIC-001,2025-06,EC2,Spot,m5.2xlarge,us-east-1,1.0152,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-1yr,m5.large,us-east-1,0.1033,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-3yr,m5.large,us-east-1,0.0656,Compute Instance
SYNTHETIC-001,2025-06,EC2,Spot,m5.large,us-east-1,0.0492,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-1yr,m5.xlarge,us-east-1,0.121,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-3yr,m5.xlarge,us-east-1,0.0768,Compute Instance
SYNTHETIC-001,2025-06,EC2,Spot,m5.xlarge,us-east-1,0.0576,Compute Instance
SYNTHETIC-001,2025-06,EC2,On-Demand,r5.large,us-east-1,0.126,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-1yr,r5.large,us-east-1,0.0794,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-3yr,r5.large,us-east-1,0.0504,Compute Instance
SYNTHETIC-001,2025-06,EC2,Spot,r5.large,us-east-1,0.0378,Compute Instance
SYNTHETIC-001,2025-06,EC2,On-Demand,r5.xlarge,us-east-1,0.252,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-1yr,r5.xlarge,us-east-1,0.1588,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-3yr,r5.xlarge,us-east-1,0.1008,Compute Instance
SYNTHETIC-001,2025-06,EC2,Spot,r5.xlarge,us-east-1,0.0756,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-1yr,t3.large,us-east-1,0.0524,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-3yr,t3.large,us-east-1,0.0333,Compute Instance
SYNTHETIC-001,2025-06,EC2,Spot,t3.large,us-east-1,0.025,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-1yr,t3.medium,us-east-1,0.0262,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-3yr,t3.medium,us-east-1,0.0166,Compute Instance
SYNTHETIC-001,2025-06,EC2,Spot,t3.medium,us-east-1,0.0125,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-1yr,t3.micro,us-east-1,0.0066,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-3yr,t3.micro,us-east-1,0.0042,Compute Instance
SYNTHETIC-001,2025-06,EC2,Spot,t3.micro,us-east-1,0.0031,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-1yr,t3.small,us-east-1,0.0557,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-3yr,t3.small,us-east-1,0.0354,Compute Instance
SYNTHETIC-001,2025-06,EC2,Spot,t3.small,us-east-1,0.0265,Compute Instance
SYNTHETIC-001,2025-06,EC2,On-Demand,t3.xlarge,us-east-1,0.1664,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-1yr,t3.xlarge,us-east-1,0.1048,Compute Instance
SYNTHETIC-001,2025-06,EC2,Reserved-3yr,t3.xlarge,us-east-1,0.0666,Compute Instance
SYNTHETIC-001,2025-06,EC2,Spot,t3.xlarge,us-east-1,0.0499,Compute Instance
SYNTHETIC-001,2025-06,RDS,On-Demand,db.t4g.micro,us-east-1,0.016,Database Instance
SYNTHETIC-001,2025-06,RDS,Reserved-1yr,db.t4g.micro,us-east-1,0.0101,Database Instance
SYNTHETIC-001,2025-06,RDS,On-Demand,db.t4g.medium,us-east-1,0.065,Database Instance
SYNTHETIC-001,2025-06,RDS,Reserved-1yr,db.t4g.medium,us-east-1,0.041,Database Instance
SYNTHETIC-001,2025-06,RDS,On-Demand,db.r5.large,us-east-1,0.24,Database Instance
SYNTHETIC-001,2025-06,RDS,Reserved-1yr,db.r5.large,us-east-1,0.1512,Database Instance
SYNTHETIC-001,2025-06,RDS,On-Demand,db.r5.xlarge,us-east-1,0.48,Database Instance
SYNTHETIC-001,2025-06,RDS,Reserved-1yr,db.r5.xlarge,us-east-1,0.3024,Database Instance
