account_id,region,db_instance_id,timestamp,cpu_util_avg,free_storage_avg,free_mem_avg,db_conns_avg,read_iops_avg,write_iops_avg,read_latency_avg,write_latency_avg,queue_depth_avg,net_rx_avg,net_tx_avg,period_seconds
SYNTHETIC-001,us-east-1,prod-postgres-primary,2025-05-17T00:00:00+00:00,18.976918,80054254265.61,11648682371.19,29.6,15.1224,36.7162,0.002013,0.003206,0.2933,572649.8,908640.12,3600
SYNTHETIC-001,us-east-1,prod-postgres-primary,2025-05-17T01:00:00+00:00,17.512704,79955530923.37,11785985169.56,30.92,45.3985,20.8383,0.002468,0.002641,0.3792,603725.3,574856.1,3600
SYNTHETIC-001,us-east-1,prod-postgres-primary,2025-05-17T02:00:00+00:00,11.728336,80029297215.39,10753278893.15,43.67,59.7258,27.7012,0.002007,0.000949,0.5611,489629.26,485600.45,3600
SYNTHETIC-001,us-east-1,prod-postgres-primary,2025-05-17T03:00:00+00:00,25.652683,79902078703.94,10992425782.97,18.77,45.3896,30.3787,0.002353,0.002663,0.2875,534276.46,540482.92,3600
SYNTHETIC-001,us-east-1,prod-postgres-primary,2025-05-17T04:00:00+00:00,13.160639,80112105253.4,12106542904.89,46.16,54.3876,21.282,0.001574,0.003641,0.3266,483602.07,702108.09,3600
SYNTHETIC-001,us-east-1,prod-postgres-primary,2025-05-17T05:00:00+00:00,13.222914,80077311261.51,11226382830.12,43.3,46.0048,39.6661,0.001104,0.002457,0.4299,468084.71,893691.43,3600
SYNTHETIC-001,us-east-1,prod-postgres-primary,2025-05-17T06:00:00+00:00,19.244394,80001988846.58,12617002673.91,65.65,24.6671,26.9425,0.002608,0.003086,0.7369,416582.76,517199.26,3600
SYNTHETIC-001,us-east-1,prod-postgres-primary,2025-05-17T07:00:00+00:00,21.482043,79778168027.2,11714544721.68,68.89,45.3937,30.5776,0.001239,0.002977,0.4216,635833.64,517983.53,3600
SYNTHETIC-001,us-east-1,prod-postgres-primary,2025-05-17T08:00:00+00:00,6.952945,80032532089.93,12930009485.73,32.24,17.6471,16.2718,0.002347,0.002438,0.4585,214248.34,615927.39,3600
SYNTHETIC-001,us-east-1,prod-postgres-primary,2025-05-17T09:00:00+00:00,21.153065,79978827171.41,11385574633.51,53.12,59.8047,22.3459,0.001407,0.004278,0.34,433663.77,1080193.42,3600
SYNTHETIC-001,us-east-1,prod-postgres-primary,2025-05-17T10:00:00+00:00,18.747441,79960366361.0,10814152203.94,40.92,43.7011,20.7616,0.00274,0.001709,0.1334,371183.54,709117.67,3600
SYNTHETIC-001,us-east-1,prod-postgres-primary,2025-05-17T11:00:00+00:00,11.880241,79903306360.37,11473132013.42,39.41,33.4475,36.0646,0.000169,0.003321,0.3135,487315.79,1096686.94,3600
SYNTHETIC-001,us-east-1,prod-postgres-primary,2025-05-17T12:00:00+00:00,17.347172,80008248109.34,12445180569.11,23.45,53.5254,34.2236,0.001817,0.003561,0.4574,364542.74,438831.86,3600
SYNTHETIC-001,us-east-1,prod-postgres-primary,2025-05-17T13:00:00+00:00,21.559778,80135169549.01,11473907387.79,43.84,25.452,21.4105,0.001533,0.001773,0.4178,540611.58,815109.86,3600
SYNTHETIC-001,us-east-1,prod-postgres-primary,2025-05-17T14:00:00+00:00,15.597753,80107178027.57,12082326879.42,61.16,24.2162,56.3954,0.001797,0.001741,0.2215,535775.33,886121.94,3600
