account_id,date,service_name,cost_amount,currency
SYNTHETIC-001,2024-07-01,Amazon Elastic Compute Cloud - Compute,41.31,USD
SYNTHETIC-001,2024-07-01,Amazon Relational Database Service,15.97,USD
SYNTHETIC-001,2024-07-01,Amazon Simple Storage Service,2.01,USD
SYNTHETIC-001,2024-07-01,AWS Lambda,1.94,USD
SYNTHETIC-001,2024-07-01,Amazon Elastic Block Store,2.11,USD
SYNTHETIC-001,2024-07-01,Data Transfer,5.65,USD
SYNTHETIC-001,2024-07-01,Other,2.8,USD
SYNTHETIC-001,2024-07-02,Amazon Elastic Compute Cloud - Compute,48.14,USD
SYNTHETIC-001,2024-07-02,Amazon Relational Database Service,15.8,USD
SYNTHETIC-001,2024-07-02,Amazon Simple Storage Service,1.83,USD
SYNTHETIC-001,2024-07-02,AWS Lambda,1.13,USD
SYNTHETIC-001,2024-07-02,Amazon Elastic Block Store,2.13,USD
SYNTHETIC-001,2024-07-02,Data Transfer,6.6,USD
SYNTHETIC-001,2024-07-02,Other,2.8,USD
SYNTHETIC-001,2024-07-03,Amazon Elastic Compute Cloud - Compute,46.05,USD
SYNTHETIC-001,2024-07-03,Amazon Relational Database Service,16.9,USD
SYNTHETIC-001,2024-07-03,Amazon Simple Storage Service,2.81,USD
SYNTHETIC-001,2024-07-03,AWS Lambda,2.03,USD
SYNTHETIC-001,2024-07-03,Amazon Elastic Block Store,2.07,USD
SYNTHETIC-001,2024-07-03,Data Transfer,5.43,USD
SYNTHETIC-001,2024-07-03,Other,2.77,USD
SYNTHETIC-001,2024-07-04,Amazon Elastic Compute Cloud - Compute,47.51,USD
SYNTHETIC-001,2024-07-04,Amazon Relational Database Service,15.34,USD
SYNTHETIC-001,2024-07-04,Amazon Simple Storage Service,2.87,USD
SYNTHETIC-001,2024-07-04,AWS Lambda,1.0,USD
SYNTHETIC-001,2024-07-04,Amazon Elastic Block Store,2.14,USD
SYNTHETIC-001,2024-07-04,Data Transfer,6.22,USD
SYNTHETIC-001,2024-07-04,Other,2.62,USD
SYNTHETIC-001,2024-07-05,Amazon Elastic Compute Cloud - Compute,43.55,USD
SYNTHETIC-001,2024-07-05,Amazon Relational Database Service,14.23,USD
SYNTHETIC-001,2024-07-05,Amazon Simple Storage Service,2.21,USD
SYNTHETIC-001,2024-07-05,AWS Lambda,1.28,USD
SYNTHETIC-001,2024-07-05,Amazon Elastic Block Store,2.04,USD
SYNTHETIC-001,2024-07-05,Data Transfer,5.74,USD
SYNTHETIC-001,2024-07-05,Other,2.39,USD
SYNTHETIC-001,2024-07-06,Amazon Elastic Compute Cloud - Compute,26.95,USD
SYNTHETIC-001,2024-07-06,Amazon Relational Database Service,15.03,USD
SYNTHETIC-001,2024-07-06,Amazon Simple Storage Service,1.96,USD
SYNTHETIC-001,2024-07-06,AWS Lambda,0.59,USD
SYNTHETIC-001,2024-07-06,Amazon Elastic Block Store,2.11,USD
SYNTHETIC-001,2024-07-06,Data Transfer,3.31,USD
SYNTHETIC-001,2024-07-06,Other,2.83,USD
SYNTHETIC-001,2024-07-07,Amazon Elastic Compute Cloud - Compute,26.72,USD
SYNTHETIC-001,2024-07-07,Amazon Relational Database Service,13.87,USD
SYNTHETIC-001,2024-07-07,Amazon Simple Storage Service,2.55,USD
SYNTHETIC-001,2024-07-07,AWS Lambda,0.53,USD
SYNTHETIC-001,2024-07-07,Amazon Elastic Block Store,2.11,USD
SYNTHETIC-001,2024-07-07,Data Transfer,3.22,USD
SYNTHETIC-001,2024-07-07,Other,2.59,USD
SYNTHETIC-001,2024-07-08,Amazon Elastic Compute Cloud - Compute,48.01,USD
SYNTHETIC-001,2024-07-08,Amazon Relational Database Service,15.55,USD
SYNTHETIC-001,2024-07-08,Amazon Simple Storage Service,2.81,USD
SYNTHETIC-001,2024-07-08,AWS Lambda,2.44,USD
SYNTHETIC-001,2024-07-08,Amazon Elastic Block Store,2.07,USD
SYNTHETIC-001,2024-07-08,Data Transfer,5.4,USD
SYNTHETIC-001,2024-07-08,Other,2.83,USD
SYNTHETIC-001,2024-07-09,Amazon Elastic Compute Cloud - Compute,53.11,USD
SYNTHETIC-001,2024-07-09,Amazon Relational Database Service,16.3,USD
SYNTHETIC-001,2024-07-09,Amazon Simple Storage Service,3.08,USD
SYNTHETIC-001,2024-07-09,AWS Lambda,1.55,USD
SYNTHETIC-001,2024-07-09,Amazon Elastic Block Store,2.1,USD
SYNTHETIC-001,2024-07-09,Data Transfer,5.87,USD
SYNTHETIC-001,2024-07-09,Other,2.58,USD
SYNTHETIC-001,2024-07-10,Amazon Elastic Compute Cloud - Compute,49.99,USD
SYNTHETIC-001,2024-07-10,Amazon Relational Database Service,14.5,USD
SYNTHETIC-001,2024-07-10,Amazon Simple Storage Service,2.69,USD
SYNTHETIC-001,2024-07-10,AWS Lambda,1.1,USD
SYNTHETIC-001,2024-07-10,Amazon Elastic Block Store,2.07,USD
SYNTHETIC-001,2024-07-10,Data Transfer,6.97,USD
SYNTHETIC-001,2024-07-10,Other,2.5,USD
SYNTHETIC-001,2024-07-11,Amazon Elastic Compute Cloud - Compute,43.68,USD
SYNTHETIC-001,2024-07-11,Amazon Relational Database Service,14.72,USD
SYNTHETIC-001,2024-07-11,Amazon Simple Storage Service,2.42,USD
SYNTHETIC-001,2024-07-11,AWS Lambda,1.57,USD
SYNTHETIC-001,2024-07-11,Amazon Elastic Block Store,2.05,USD
SYNTHETIC-001,2024-07-11,Data Transfer,6.39,USD
SYNTHETIC-001,2024-07-11,Other,2.87,USD
SYNTHETIC-001,2024-07-12,Amazon Elastic Compute Cloud - Compute,49.58,USD
SYNTHETIC-001,2024-07-12,Amazon Relational Database Service,14.51,USD
SYNTHETIC-001,2024-07-12,Amazon Simple Storage Service,2.27,USD
SYNTHETIC-001,2024-07-12,AWS Lambda,1.74,USD
SYNTHETIC-001,2024-07-12,Amazon Elastic Block Store,2.09,USD
SYNTHETIC-001,2024-07-12,Data Transfer,4.77,USD
SYNTHETIC-001,2024-07-12,Other,2.85,USD
SYNTHETIC-001,2024-07-13,Amazon Elastic Compute Cloud - Compute,22.49,USD
SYNTHETIC-001,2024-07-13,Amazon Relational Database Service,13.7,USD
SYNTHETIC-001,2024-07-13,Amazon Simple Storage Service,2.55,USD
SYNTHETIC-001,2024-07-13,AWS Lambda,0.43,USD
SYNTHETIC-001,2024-07-13,Amazon Elastic Block Store,2.05,USD
SYNTHETIC-001,2024-07-13,Data Transfer,3.31,USD
SYNTHETIC-001,2024-07-13,Other,2.97,USD
SYNTHETIC-001,2024-07-14,Amazon Elastic Compute Cloud - Compute,27.08,USD
SYNTHETIC-001,2024-07-14,Amazon Relational Database Service,14.4,USD
SYNTHETIC-001,2024-07-14,Amazon Simple Storage Service,2.46,USD
SYNTHETIC-001,2024-07-14,AWS Lambda,0.57,USD
SYNTHETIC-001,2024-07-14,Amazon Elastic Block Store,2.11,USD
SYNTHETIC-001,2024-07-14,Data Transfer,2.53,USD
SYNTHETIC-001,2024-07-14,Other,3.43,USD
SYNTHETIC-001,2024-07-15,Amazon Elastic Compute Cloud - Compute,47.66,USD
SYNTHETIC-001,2024-07-15,Amazon Relational Database Service,15.84,USD
SYNTHETIC-001,2024-07-15,Amazon Simple Storage Service,2.24,USD
SYNTHETIC-001,2024-07-15,AWS Lambda,1.51,USD
SYNTHETIC-001,2024-07-15,Amazon Elastic Block Store,2.05,USD
SYNTHETIC-001,2024-07-15,Data Transfer,7.32,USD
SYNTHETIC-001,2024-07-15,Other,2.89,USD
SYNTHETIC-001,2024-07-16,Amazon Elastic Compute Cloud - Compute,47.04,USD
SYNTHETIC-001,2024-07-16,Amazon Relational Database Service,15.69,USD
SYNTHETIC-001,2024-07-16,Amazon Simple Storage Service,3.18,USD
SYNTHETIC-001,2024-07-16,AWS Lambda,1.87,USD
SYNTHETIC-001,2024-07-16,Amazon Elastic Block Store,2.13,USD
SYNTHETIC-001,2024-07-16,Data Transfer,6.97,USD
SYNTHETIC-001,2024-07-16,Other,2.95,USD
SYNTHETIC-001,2024-07-17,Amazon Elastic Compute Cloud - Compute,44.69,USD
SYNTHETIC-001,2024-07-17,Amazon Relational Database Service,14.65,USD
SYNTHETIC-001,2024-07-17,Amazon Simple Storage Service,3.11,USD
SYNTHETIC-001,2024-07-17,AWS Lambda,1.19,USD
SYNTHETIC-001,2024-07-17,Amazon Elastic Block Store,2.05,USD
SYNTHETIC-001,2024-07-17,Data Transfer,6.31,USD
SYNTHETIC-001,2024-07-17,Other,2.51,USD
SYNTHETIC-001,2024-07-18,Amazon Elastic Compute Cloud - Compute,53.85,USD
SYNTHETIC-001,2024-07-18,Amazon Relational Database Service,14.09,USD
SYNTHETIC-001,2024-07-18,Amazon Simple Storage Service,2.91,USD
SYNTHETIC-001,2024-07-18,AWS Lambda,1.92,USD
SYNTHETIC-001,2024-07-18,Amazon Elastic Block Store,2.08,USD
SYNTHETIC-001,2024-07-18,Data Transfer,6.19,USD
SYNTHETIC-001,2024-07-18,Other,2.45,USD
SYNTHETIC-001,2024-07-19,Amazon Elastic Compute Cloud - Compute,47.27,USD
SYNTHETIC-001,2024-07-19,Amazon Relational Database Service,15.57,USD
SYNTHETIC-001,2024-07-19,Amazon Simple Storage Service,2.28,USD
SYNTHETIC-001,2024-07-19,AWS Lambda,1.69,USD
SYNTHETIC-001,2024-07-19,Amazon Elastic Block Store,2.07,USD
SYNTHETIC-001,2024-07-19,Data Transfer,5.86,USD
SYNTHETIC-001,2024-07-19,Other,3.26,USD
SYNTHETIC-001,2024-07-20,Amazon Elastic Compute Cloud - Compute,23.91,USD
SYNTHETIC-001,2024-07-20,Amazon Relational Database Service,13.91,USD
SYNTHETIC-001,2024-07-20,Amazon Simple Storage Service,2.84,USD
SYNTHETIC-001,2024-07-20,AWS Lambda,0.33,USD
SYNTHETIC-001,2024-07-20,Amazon Elastic Block Store,2.16,USD
SYNTHETIC-001,2024-07-20,Data Transfer,3.34,USD
SYNTHETIC-001,2024-07-20,Other,2.56,USD
SYNTHETIC-001,2024-07-21,Amazon Elastic Compute Cloud - Compute,24.12,USD
SYNTHETIC-001,2024-07-21,Amazon Relational Database Service,14.45,USD
SYNTHETIC-001,2024-07-21,Amazon Simple Storage Service,2.77,USD
SYNTHETIC-001,2024-07-21,AWS Lambda,0.39,USD
SYNTHETIC-001,2024-07-21,Amazon Elastic Block Store,2.11,USD
SYNTHETIC-001,2024-07-21,Data Transfer,2.86,USD
SYNTHETIC-001,2024-07-21,Other,2.52,USD
SYNTHETIC-001,2024-07-22,Amazon Elastic Compute Cloud - Compute,50.66,USD
SYNTHETIC-001,2024-07-22,Amazon Relational Database Service,15.98,USD
SYNTHETIC-001,2024-07-22,Amazon Simple Storage Service,2.72,USD
SYNTHETIC-001,2024-07-22,AWS Lambda,1.6,USD
SYNTHETIC-001,2024-07-22,Amazon Elastic Block Store,2.09,USD
SYNTHETIC-001,2024-07-22,Data Transfer,6.28,USD
SYNTHETIC-001,2024-07-22,Other,2.81,USD
SYNTHETIC-001,2024-07-23,Amazon Elastic Compute Cloud - Compute,49.89,USD
SYNTHETIC-001,2024-07-23,Amazon Relational Database Service,15.64,USD
SYNTHETIC-001,2024-07-23,Amazon Simple Storage Service,2.97,USD
SYNTHETIC-001,2024-07-23,AWS Lambda,1.56,USD
SYNTHETIC-001,2024-07-23,Amazon Elastic Block Store,2.12,USD
SYNTHETIC-001,2024-07-23,Data Transfer,6.86,USD
SYNTHETIC-001,2024-07-23,Other,2.79,USD
SYNTHETIC-001,2024-07-24,Amazon Elastic Compute Cloud - Compute,50.14,USD
SYNTHETIC-001,2024-07-24,Amazon Relational Database Service,16.03,USD
SYNTHETIC-001,2024-07-24,Amazon Simple Storage Service,2.78,USD
SYNTHETIC-001,2024-07-24,AWS Lambda,2.6,USD
SYNTHETIC-001,2024-07-24,Amazon Elastic Block Store,2.01,USD
SYNTHETIC-001,2024-07-24,Data Transfer,5.56,USD
SYNTHETIC-001,2024-07-24,Other,2.56,USD
SYNTHETIC-001,2024-07-25,Amazon Elastic Compute Cloud - Compute,50.26,USD
SYNTHETIC-001,2024-07-25,Amazon Relational Database Service,15.7,USD
SYNTHETIC-001,2024-07-25,Amazon Simple Storage Service,2.82,USD
SYNTHETIC-001,2024-07-25,AWS Lambda,1.65,USD
SYNTHETIC-001,2024-07-25,Amazon Elastic Block Store,2.1,USD
SYNTHETIC-001,2024-07-25,Data Transfer,5.51,USD
SYNTHETIC-001,2024-07-25,Other,2.73,USD
SYNTHETIC-001,2024-07-26,Amazon Elastic Compute Cloud - Compute,58.54,USD
SYNTHETIC-001,2024-07-26,Amazon Relational Database Service,15.9,USD
SYNTHETIC-001,2024-07-26,Amazon Simple Storage Service,2.79,USD
SYNTHETIC-001,2024-07-26,AWS Lambda,1.57,USD
SYNTHETIC-001,2024-07-26,Amazon Elastic Block Store,2.18,USD
SYNTHETIC-001,2024-07-26,Data Transfer,4.99,USD
SYNTHETIC-001,2024-07-26,Other,3.17,USD
SYNTHETIC-001,2024-07-27,Amazon Elastic Compute Cloud - Compute,24.07,USD
